,imagenet_class,original_score,perturbated_score
96,toucan,2.0172267e-06,1.5565762e-07
97,drake,1.6201105e-07,9.0677075e-09
98,"red-breasted merganser, Mergus serrator",4.0373706e-07,1.1972594e-08
99,goose,2.0080672e-06,4.8492474e-08
100,"black swan, Cygnus atratus",1.3869922e-06,9.508891e-08
101,tusker,7.327703e-07,2.4681706e-08
102,"echidna, spiny anteater, anteater",2.1213928e-06,1.2480537e-07
103,"platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus",1.317855e-06,9.761422e-08
104,"wallaby, brush kangaroo",2.5150946e-06,1.3731393e-07
105,"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",3.787236e-07,4.5241787e-08
106,wombat,1.219702e-05,1.5922542e-07
107,jellyfish,2.3002128e-06,6.2153174e-07
108,"sea anemone, anemone",7.1969216e-06,1.063948e-06
109,brain coral,6.30164e-05,1.1261009e-05
110,"flatworm, platyhelminth",1.6712697e-06,1.9447668e-07
111,"nematode, nematode worm, roundworm",4.0367857e-05,3.8337557e-06
112,conch,1.6616135e-06,1.379227e-06
113,snail,8.106071e-07,6.9445406e-07
114,slug,4.943648e-07,1.1616056e-07
115,"sea slug, nudibranch",9.262289e-07,5.3805866e-07
116,"chiton, coat-of-mail shell, sea cradle, polyplacophore",9.3167466e-07,4.7261327e-07
117,"chambered nautilus, pearly nautilus, nautilus",1.0736546e-06,4.8779697e-07
118,"Dungeness crab, Cancer magister",2.8873787e-06,5.152733e-07
119,"rock crab, Cancer irroratus",2.5554945e-07,2.1869563e-07
120,fiddler crab,5.13262e-07,1.1780789e-07
121,"king crab, Alaska crab, Alaskan king crab, Alaska king crab, Paralithodes camtschatica",2.0755003e-06,2.3446064e-07
122,"American lobster, Northern lobster, Maine lobster, Homarus americanus",2.2920299e-06,8.0140546e-07
123,"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",1.0258238e-06,7.399009e-08
124,"crayfish, crawfish, crawdad, crawdaddy",2.8132124e-06,7.1526546e-07
125,hermit crab,1.1289698e-07,1.0646248e-08
126,isopod,6.0282964e-06,2.438334e-06
127,"white stork, Ciconia ciconia",2.294477e-06,5.714464e-08
128,"black stork, Ciconia nigra",9.1736507e-07,8.595717e-09
129,spoonbill,2.5647628e-07,7.996655e-09
130,flamingo,4.585349e-07,9.036686e-08
131,"little blue heron, Egretta caerulea",6.3020246e-07,1.2402364e-08
132,"American egret, great white heron, Egretta albus",1.7908712e-06,8.405399e-08
133,bittern,2.7553963e-07,8.261329e-09
134,crane,8.468485e-07,2.8050199e-08
135,"limpkin, Aramus pictus",4.6580197e-07,1.62034e-08
136,"European gallinule, Porphyrio porphyrio",6.346759e-07,2.7767117e-08
137,"American coot, marsh hen, mud hen, water hen, Fulica americana",6.7336407e-07,2.8895878e-08
138,bustard,5.38995e-07,9.541343e-09
139,"ruddy turnstone, Arenaria interpres",2.2220846e-07,5.7151887e-08
140,"red-backed sandpiper, dunlin, Erolia alpina",8.8896556e-08,2.8266047e-08
141,"redshank, Tringa totanus",1.8295476e-07,3.7690416e-08
142,dowitcher,4.882596e-07,5.7573992e-08
143,"oystercatcher, oyster catcher",1.4865191e-06,1.522567e-07
144,pelican,7.5533215e-08,2.1912818e-09
145,"king penguin, Aptenodytes patagonica",9.962521e-07,8.2157094e-08
146,"albatross, mollymawk",8.3273754e-08,2.2766307e-09
147,"grey whale, gray whale, devilfish, Eschrichtius gibbosus, Eschrichtius robustus",2.590258e-07,8.177005e-09
148,"killer whale, killer, orca, grampus, sea wolf, Orcinus orca",6.158912e-06,5.608315e-08
149,"dugong, Dugong dugon",4.5722427e-06,9.8489274e-08
150,sea lion,4.401383e-06,7.276446e-08
151,Chihuahua,4.8754035e-05,1.0160107e-06
152,Japanese spaniel,1.8176748e-05,1.5780368e-07
153,"Maltese dog, Maltese terrier, Maltese",1.229701e-05,2.2769328e-07
154,"Pekinese, Pekingese, Peke",2.3563491e-06,2.2651376e-07
155,Shih-Tzu,3.881493e-06,3.142245e-07
156,Blenheim spaniel,4.5148954e-06,2.5229562e-07
157,papillon,1.490786e-05,2.4219085e-07
158,toy terrier,6.9547445e-06,6.603705e-08
159,Rhodesian ridgeback,1.8161621e-05,3.4618586e-06
160,"Afghan hound, Afghan",8.713592e-06,1.7875158e-07
