,imagenet_class,original_score,perturbated_score
96,toucan,2.711947e-05,9.820236e-06
97,drake,1.006255e-05,9.022364e-06
98,"red-breasted merganser, Mergus serrator",1.9030336e-05,3.5639812e-06
99,goose,0.000105424006,1.2793976e-05
100,"black swan, Cygnus atratus",6.216109e-05,5.3191787e-05
101,tusker,6.9703514e-05,1.5233097e-06
102,"echidna, spiny anteater, anteater",1.891903e-05,7.4153365e-07
103,"platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus",6.349628e-06,2.2177526e-05
104,"wallaby, brush kangaroo",3.911182e-05,1.4279198e-06
105,"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",1.7570215e-05,5.802599e-06
106,wombat,2.2551074e-05,3.2762464e-06
107,jellyfish,1.304063e-06,9.275436e-06
108,"sea anemone, anemone",3.3079357e-06,2.2076038e-06
109,brain coral,4.4894252e-05,3.1009633e-05
110,"flatworm, platyhelminth",4.3687928e-07,1.6954574e-06
111,"nematode, nematode worm, roundworm",9.332601e-06,1.3147113e-06
112,conch,0.00023487679,1.4571756e-05
113,snail,4.260451e-06,4.313061e-05
114,slug,4.2265665e-06,4.9914784e-06
115,"sea slug, nudibranch",2.4254365e-07,1.6194114e-06
116,"chiton, coat-of-mail shell, sea cradle, polyplacophore",7.1585223e-06,2.6764295e-05
117,"chambered nautilus, pearly nautilus, nautilus",4.8034753e-06,1.8388419e-06
118,"Dungeness crab, Cancer magister",0.0005856286,6.444081e-05
119,"rock crab, Cancer irroratus",3.0216872e-05,3.4577104e-06
120,fiddler crab,8.99233e-06,1.1880372e-06
121,"king crab, Alaska crab, Alaskan king crab, Alaska king crab, Paralithodes camtschatica",0.00016618457,1.4509769e-05
122,"American lobster, Northern lobster, Maine lobster, Homarus americanus",6.3141844e-05,7.7070545e-05
123,"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",3.3869444e-05,1.0232076e-05
